Designator,Footprint,Quantity,Value,LCSC Part #
BT401,BatteryHolder_Keystone_3008_1x2450,1,LIR2450,
"C301, C402",0603,2,10u,C19702
"C302, C304",0603,2,100n,C14663
C303,0603,1,1u,C15849
C401,0805,1,4.7u,C1779
"D201, D401, D402",D_SOD-323_HandSoldering,3,600m,C191023
D301,0805,1,Green,C2297
D302,0805,1,Yellow,C2296
D303,0603,1,Red,C2286
J201,USB4110-GF-A_GCT,1,USB4110-GF-A,
"R201, R202",0805,2,5.1k,C27834
"R301, R302",0603,2,10k,C25804
"R303, R304",0805,2,120,C17437
R305,0805,1,47,C17714
"S301, S302, S303",SW_TS-1088-AR02016,3,TS-1088-AR02016,
SW401,500SSP1_EWI,1,500SSP1S2M2QEA,
U201,SOT-23,1,SLLC23T5V2U,
U301,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N8,
U401,SOT-23-5,1,AP2112K-3.3,
