Designator,Mid X,Mid Y,Rotation,Layer
BT401,137.05,-92.825,0.0,bottom
C301,121.8,-81.2,90.0,top
C302,123.65,-81.25,90.0,top
C303,122.25,-91.2,270.0,top
C304,153.3,-92.55,90.0,top
C401,144.2,-105.95,270.0,top
C402,151.05,-106.0,270.0,top
D201,129.15,-104.3,180.0,top
D301,151.9,-87.75,180.0,top
D302,152.005,-84.325,180.0,top
D303,151.955,-81.175,180.0,top
D401,139.45,-105.8,180.0,top
D402,134.85,-105.5,180.0,top
J201,126.540001,-112.7878,0.0,top
R201,121.2,-106.9,0.0,top
R202,128.65,-106.7,180.0,top
R301,120.6,-91.2,90.0,top
R302,148.3,-97.6,0.0,top
R303,147.905,-87.675,180.0,top
R304,148.055,-84.275,180.0,top
R305,148.13,-81.075,180.0,top
S301,121.9,-87.3,180.0,top
S302,149.025,-91.7,0.0,top
S303,148.4,-100.2,180.0,top
SW401,144.349999,-111.8,90.0,top
U201,124.9,-103.9875,90.0,top
U301,135.05,-85.92,0.0,top
U401,147.8,-105.9,180.0,top
